kernelSize;density;delta
15;8;0,098820
14;21;0,083662
12;82;0,083299
15;9;0,109229
14;22;0,088766
15;10;0,108467
13;63;0,071359
14;23;0,087130
15;11;0,100368
12;83;0,083949
15;12;0,093827
14;24;0,085782
15;13;0,097666
13;64;0,071596
14;25;0,085267
15;14;0,090942
2;42;0,435436
12;84;0,082256
15;15;0,094337
14;26;0,082551
13;65;0,070477
15;16;0,089144
14;27;0,080099
15;17;0,091946
12;85;0,079801
14;28;0,080198
15;18;0,086221
13;66;0,070766
14;29;0,080465
15;19;0,076636
4;83;0,291766
14;30;0,077405
15;20;0,084333
12;86;0,083439
13;67;0,071050
15;21;0,083940
14;31;0,076790
15;22;0,089314
14;32;0,079230
12;87;0,083692
15;23;0,087443
13;68;0,070445
14;33;0,075898
15;24;0,085867
15;25;0,085251
14;34;0,077701
13;69;0,069443
12;88;0,083607
15;26;0,082719
14;35;0,076950
15;27;0,080084
3;62;0,363084
14;36;0,074420
13;70;0,069648
12;89;0,084785
15;28;0,079649
14;37;0,070187
15;29;0,080246
13;71;0,070224
14;38;0,075416
12;90;0,083457
15;30;0,077431
14;39;0,075440
15;31;0,076724
13;72;0,069570
15;32;0,079384
14;40;0,074023
12;91;0,082112
15;33;0,076184
13;73;0,087391
14;41;0,076620
4;84;0,295772
15;34;0,077674
12;92;0,084868
14;42;0,076245
13;74;0,086655
15;35;0,077267
14;43;0,075555
15;36;0,074336
12;93;0,084616
13;75;0,087637
14;44;0,075218
15;37;0,070128
14;45;0,074813
13;76;0,086895
15;38;0,075536
12;94;0,083771
14;46;0,074177
15;39;0,075627
13;77;0,087131
15;40;0,074751
14;47;0,074060
12;95;0,084080
15;41;0,077501
14;48;0,072664
13;78;0,087365
15;42;0,076735
14;49;0,073529
12;96;0,083472
2;43;0,438255
13;79;0,086202
15;43;0,076088
14;50;0,072443
15;44;0,075567
3;63;0,366071
12;97;0,083345
13;80;0,086345
14;51;0,072731
15;45;0,075463
14;52;0,071502
15;46;0,074767
13;81;0,085420
4;85;0,298295
12;98;0,082683
1;21;0,485270
15;47;0,074387
14;53;0,072036
13;82;0,084105
15;48;0,073479
12;99;0,082624
14;54;0,069423
15;49;0,074049
13;83;0,084809
14;55;0,066853
12;100;0,082241
15;50;0,073280
16;1;0,289465
14;56;0,071007
13;84;0,083126
16;2;0,190256
16;3;0,137837
15;51;0,073132
16;4;0,122420
14;57;0,070395
16;5;0,117840
13;85;0,080890
16;6;0,117973
15;52;0,072267
14;58;0,070548
16;7;0,094327
16;8;0,099909
15;53;0,072922
16;9;0,110499
13;86;0,084953
14;59;0,069944
16;10;0,109987
15;54;0,070543
16;11;0,101485
16;12;0,094922
14;60;0,069206
15;55;0,067513
16;13;0,097866
13;87;0,084765
16;14;0,091220
14;61;0,066781
16;15;0,094958
15;56;0,071688
16;16;0,089990
13;88;0,085412
4;86;0,301171
15;57;0,071131
16;17;0,092371
14;62;0,070717
16;18;0,086254
15;58;0,071180
14;63;0,070518
16;19;0,077187
13;89;0,085831
3;64;0,370096
16;20;0,085404
15;59;0,071121
14;64;0,070782
16;21;0,085476
13;90;0,085024
16;22;0,089919
15;60;0,070072
16;23;0,087944
14;65;0,069960
15;61;0,067671
16;24;0,086498
13;91;0,083295
16;25;0,085520
14;66;0,070054
15;62;0,071641
16;26;0,082705
13;92;0,086295
16;27;0,080454
14;67;0,070446
15;63;0,070933
16;28;0,080022
16;29;0,081475
14;68;0,069806
2;44;0,440289
15;64;0,071371
13;93;0,085806
16;30;0,077860
15;65;0,070461
14;69;0,069167
16;31;0,077826
13;94;0,085181
16;32;0,079881
15;66;0,070863
14;70;0,069333
16;33;0,076644
13;95;0,085207
15;67;0,070781
16;34;0,078453
4;87;0,304396
14;71;0,069998
16;35;0,077595
15;68;0,070466
13;96;0,084871
16;36;0,075016
14;72;0,069009
16;37;0,070116
15;69;0,069322
16;38;0,075943
13;97;0,084397
14;73;0,068636
15;70;0,069538
16;39;0,075687
16;40;0,074626
13;98;0,083958
15;71;0,070074
14;74;0,068468
16;41;0,077225
3;65;0,372443
15;72;0,069398
16;42;0,076137
14;75;0,068971
13;99;0,083654
16;43;0,076687
15;73;0,069134
16;44;0,075438
14;76;0,068678
13;100;0,083777
15;74;0,068696
17;1;0,286719
16;45;0,074933
17;2;0,193644
14;77;0,068858
17;3;0,138463
16;46;0,074593
17;4;0,122490
15;75;0,069540
17;5;0,119605
17;6;0,122235
14;78;0,068802
16;47;0,073968
17;7;0,095364
15;76;0,069171
17;8;0,101543
16;48;0,073159
4;88;0,307480
17;9;0,110210
14;79;0,067788
17;10;0,111161
16;49;0,073673
15;77;0,069239
17;11;0,102891
17;12;0,095976
16;50;0,072838
14;80;0,067782
17;13;0,099170
15;78;0,069366
17;14;0,092316
16;51;0,072906
17;15;0,096089
14;81;0,067080
15;79;0,068301
16;52;0,071756
17;16;0,091425
17;17;0,093569
16;53;0,072600
17;18;0,088488
15;80;0,068289
14;82;0,066253
17;19;0,078389
16;54;0,070118
17;20;0,086996
15;81;0,067839
14;83;0,066739
17;21;0,086665
16;55;0,067284
17;22;0,091520
15;82;0,066855
17;23;0,089283
16;56;0,071445
2;45;0,443350
14;84;0,065866
17;24;0,087637
16;57;0,071107
17;25;0,086643
15;83;0,067333
3;66;0,375557
14;85;0,063764
17;26;0,083904
16;58;0,071060
17;27;0,080636
15;84;0,066321
17;28;0,080649
16;59;0,071005
14;86;0,084461
17;29;0,081090
15;85;0,064342
4;89;0,310033
16;60;0,069903
17;30;0,078432
14;87;0,084364
1;22;0,486716
17;31;0,077500
16;61;0,067665
15;86;0,067016
17;32;0,080206
14;88;0,084949
16;62;0,071545
17;33;0,076923
15;87;0,067283
17;34;0,078336
14;89;0,085550
16;63;0,071375
17;35;0,077852
15;88;0,067247
16;64;0,071358
17;36;0,074774
14;90;0,084808
17;37;0,070359
16;65;0,070765
15;89;0,067763
14;91;0,082976
17;38;0,076121
16;66;0,070742
17;39;0,076132
15;90;0,066965
14;92;0,085781
17;40;0,074991
16;67;0,071027
17;41;0,077870
15;91;0,065856
16;68;0,070472
14;93;0,085554
17;42;0,077040
16;69;0,069481
15;92;0,068155
17;43;0,076655
14;94;0,084827
17;44;0,076020
16;70;0,069523
15;93;0,067669
17;45;0,075604
14;95;0,084955
4;90;0,312789
16;71;0,070062
17;46;0,075163
3;67;0,378420
15;94;0,067057
14;96;0,084542
16;72;0,069163
17;47;0,074193
16;73;0,069119
17;48;0,073885
15;95;0,067318
14;97;0,084210
17;49;0,074224
16;74;0,068679
15;96;0,066886
17;50;0,073251
14;98;0,083634
16;75;0,069248
17;51;0,073586
15;97;0,066576
14;99;0,083379
16;76;0,069121
17;52;0,072694
15;98;0,066126
17;53;0,073295
16;77;0,069021
14;100;0,083109
2;46;0,445034
18;1;0,285989
17;54;0,071087
18;2;0,189010
16;78;0,069321
15;99;0,083623
18;3;0,138447
18;4;0,123248
17;55;0,067541
18;5;0,119267
16;79;0,068306
18;6;0,120347
15;100;0,083340
17;56;0,071867
18;7;0,094837
19;1;0,286692
18;8;0,098709
19;2;0,191634
16;80;0,068151
17;57;0,070987
19;3;0,135194
18;9;0,109434
19;4;0,120838
18;10;0,108155
19;5;0,116291
17;58;0,071515
18;11;0,100843
16;81;0,067673
19;6;0,120366
4;91;0,315275
18;12;0,094247
19;7;0,095656
17;59;0,070917
18;13;0,097711
19;8;0,100448
16;82;0,066576
18;14;0,091742
19;9;0,110034
17;60;0,070183
18;15;0,094617
19;10;0,107938
19;11;0,101343
18;16;0,090283
16;83;0,067451
17;61;0,067562
19;12;0,094465
18;17;0,093133
19;13;0,097633
18;18;0,087229
19;14;0,090753
17;62;0,071755
16;84;0,066087
18;19;0,078377
19;15;0,095622
3;68;0,381224
18;20;0,086860
19;16;0,088970
17;63;0,071394
18;21;0,085446
19;17;0,091389
16;85;0,064371
18;22;0,089472
19;18;0,086162
17;64;0,071397
18;23;0,088398
19;19;0,076358
16;86;0,067012
18;24;0,086809
19;20;0,084172
17;65;0,070661
18;25;0,085791
19;21;0,084278
16;87;0,067086
18;26;0,083240
17;66;0,070976
19;22;0,088094
18;27;0,081255
19;23;0,087068
16;88;0,067515
19;24;0,085868
18;28;0,080886
17;67;0,070796
19;25;0,084834
18;29;0,081937
19;26;0,082542
17;68;0,070542
18;30;0,077974
16;89;0,067869
19;27;0,079448
18;31;0,077664
17;69;0,069514
19;28;0,080019
16;90;0,067086
18;32;0,079924
19;29;0,080696
4;92;0,318765
17;70;0,069884
18;33;0,077183
