kernelSize;density;delta
51;1;0,263099
49;35;0,078720
51;2;0,197160
47;71;0,072937
50;9;0,110817
49;36;0,077394
48;70;0,077070
51;3;0,146265
50;10;0,107873
47;72;0,072721
49;37;0,072113
48;71;0,077924
51;4;0,127261
50;11;0,100883
47;73;0,072889
49;38;0,076627
51;5;0,119986
48;72;0,077291
50;12;0,094954
51;6;0,125081
49;39;0,076585
47;74;0,072685
48;73;0,077336
50;13;0,098086
51;7;0,097154
49;40;0,076149
51;8;0,103317
47;75;0,073083
50;14;0,092207
48;74;0,076228
49;41;0,081732
50;15;0,095781
51;9;0,112831
47;76;0,072131
48;75;0,077519
49;42;0,081002
51;10;0,115633
50;16;0,091804
48;76;0,076883
49;43;0,080647
47;77;0,073060
50;17;0,093883
51;11;0,107110
49;44;0,080025
48;77;0,076461
47;78;0,072885
50;18;0,088434
51;12;0,097677
49;45;0,079115
50;19;0,078695
51;13;0,102332
48;78;0,076864
47;79;0,071786
50;20;0,083947
51;14;0,096197
49;46;0,079374
48;79;0,076092
47;80;0,071624
51;15;0,098308
50;21;0,085222
49;47;0,078615
48;80;0,075807
51;16;0,094678
47;81;0,071991
50;22;0,087908
49;48;0,078491
51;17;0,095900
48;81;0,075226
50;23;0,086906
47;82;0,070067
49;49;0,077577
51;18;0,090343
50;24;0,086240
48;82;0,073901
51;19;0,081220
49;50;0,076243
47;83;0,071531
50;25;0,084707
51;20;0,090794
49;51;0,077161
47;84;0,069404
48;83;0,075605
50;26;0,082376
51;21;0,087132
49;52;0,076860
47;85;0,068574
50;27;0,080381
51;22;0,091399
48;84;0,073926
49;53;0,077009
50;28;0,079895
47;86;0,071524
51;23;0,089360
48;85;0,071394
49;54;0,074940
50;29;0,079333
51;24;0,089060
47;87;0,071743
48;86;0,073952
49;55;0,071692
50;30;0,076000
51;25;0,087726
47;88;0,071349
49;56;0,075410
48;87;0,074442
51;26;0,086604
50;31;0,075320
49;57;0,074956
3;89;0,423845
47;89;0,072248
51;27;0,082605
48;88;0,074039
50;32;0,077763
49;58;0,075347
47;90;0,070568
51;28;0,083128
50;33;0,074494
48;89;0,075066
49;59;0,075392
51;29;0,084356
47;91;0,069620
50;34;0,075733
48;90;0,073678
49;60;0,074293
51;30;0,080325
47;92;0,072197
50;35;0,076059
48;91;0,072746
51;31;0,080250
49;61;0,072279
50;36;0,073257
47;93;0,071819
51;32;0,081945
49;62;0,075712
48;92;0,074650
50;37;0,070760
47;94;0,071224
51;33;0,079953
49;63;0,075696
48;93;0,074819
50;38;0,075695
51;34;0,080549
47;95;0,071593
49;64;0,075484
50;39;0,074931
48;94;0,074076
51;35;0,080159
49;65;0,074508
47;96;0,071126
50;40;0,074145
48;95;0,074063
51;36;0,076841
49;66;0,074906
50;41;0,075175
47;97;0,070526
48;96;0,073770
51;37;0,073510
49;67;0,075019
50;42;0,079825
47;98;0,070189
48;97;0,073526
51;38;0,076288
49;68;0,074889
50;43;0,078956
47;99;0,070450
48;98;0,073189
51;39;0,078482
50;44;0,078520
49;69;0,072964
47;100;0,069845
50;45;0,077453
51;40;0,076679
48;99;0,072906
49;70;0,073557
52;1;0,263724
50;46;0,077130
49;71;0,073575
51;41;0,079896
52;2;0,192419
48;100;0,072805
50;47;0,075974
52;3;0,137519
51;42;0,078846
49;72;0,072780
50;48;0,075251
53;1;0,270951
52;4;0,126019
51;43;0,078310
49;73;0,072984
50;49;0,076503
53;2;0,196584
52;5;0,118852
51;44;0,082333
53;3;0,140191
52;6;0,124105
50;50;0,074944
49;74;0,072503
53;4;0,120512
51;45;0,081107
52;7;0,097630
49;75;0,073414
50;51;0,075127
52;8;0,099234
53;5;0,115335
51;46;0,081422
49;76;0,073133
52;9;0,109408
50;52;0,073644
53;6;0,118311
51;47;0,080712
52;10;0,109476
53;7;0,097035
49;77;0,072741
50;53;0,074268
51;48;0,079475
53;8;0,100769
52;11;0,099649
49;78;0,073128
50;54;0,072502
51;49;0,081290
53;9;0,110847
52;12;0,093864
50;55;0,068985
53;10;0,111782
49;79;0,071418
51;50;0,080006
52;13;0,097297
53;11;0,102409
50;56;0,073480
49;80;0,072016
52;14;0,093673
51;51;0,079963
53;12;0,095359
50;57;0,072608
52;15;0,095193
51;52;0,078190
49;81;0,071289
53;13;0,099695
50;58;0,073333
52;16;0,090946
53;14;0,093096
51;53;0,079430
49;82;0,070053
52;17;0,092308
50;59;0,072353
53;15;0,098118
51;54;0,076627
52;18;0,086843
49;83;0,070322
53;16;0,092037
50;60;0,071851
52;19;0,077341
51;55;0,073470
53;17;0,094544
49;84;0,070070
50;61;0,069226
52;20;0,086797
53;18;0,088582
51;56;0,076857
49;85;0,068253
50;62;0,072561
53;19;0,077245
51;57;0,076601
52;21;0,086202
50;63;0,072790
49;86;0,069909
53;20;0,086627
52;22;0,088705
51;58;0,076095
50;64;0,073317
53;21;0,088007
49;87;0,070810
52;23;0,087916
51;59;0,075037
53;22;0,091615
50;65;0,072266
52;24;0,085208
49;88;0,070824
51;60;0,074739
53;23;0,091430
50;66;0,072417
52;25;0,084501
49;89;0,071706
51;61;0,072483
53;24;0,090210
52;26;0,082126
50;67;0,072398
49;90;0,070891
53;25;0,091804
51;62;0,076719
52;27;0,081306
50;68;0,071907
53;26;0,088377
51;63;0,076227
49;91;0,069413
52;28;0,079760
50;69;0,071303
53;27;0,084875
51;64;0,076683
49;92;0,072382
52;29;0,081322
53;28;0,085993
50;70;0,071499
52;30;0,078249
51;65;0,075628
49;93;0,071985
53;29;0,085287
50;71;0,071625
52;31;0,076821
51;66;0,075518
53;30;0,080356
49;94;0,071400
52;32;0,080403
50;72;0,071388
51;67;0,075736
53;31;0,081397
2;61;0,467283
49;95;0,071397
52;33;0,076601
50;73;0,071422
51;68;0,074803
53;32;0,083226
52;34;0,079314
49;96;0,071263
53;33;0,079763
50;74;0,070967
51;69;0,074314
52;35;0,077531
49;97;0,071023
53;34;0,081701
50;75;0,071780
51;70;0,074839
52;36;0,075627
53;35;0,081077
49;98;0,070528
50;76;0,071619
52;37;0,070432
51;71;0,074932
53;36;0,076551
49;99;0,070052
52;38;0,079116
50;77;0,071657
51;72;0,074552
53;37;0,075831
52;39;0,077186
50;78;0,071680
51;73;0,074254
49;100;0,070545
53;38;0,079182
3;90;0,425034
52;40;0,075746
50;79;0,069590
51;74;0,073681
54;1;0,269015
53;39;0,078758
52;41;0,078869
54;2;0,198860
50;80;0,070649
51;75;0,074803
53;40;0,077015
54;3;0,141614
52;42;0,079011
50;81;0,069565
53;41;0,080230
51;76;0,074424
54;4;0,125085
52;43;0,077843
53;42;0,078464
54;5;0,118388
50;82;0,069530
51;77;0,073497
52;44;0,077495
54;6;0,122363
53;43;0,078657
50;83;0,069427
51;78;0,075233
54;7;0,098071
52;45;0,077011
53;44;0,077899
54;8;0,102072
50;84;0,068684
51;79;0,073383
52;46;0,079316
53;45;0,078249
54;9;0,112661
50;85;0,066455
51;80;0,072968
52;47;0,078299
53;46;0,077075
54;10;0,111109
50;86;0,069809
53;47;0,077006
51;81;0,072275
52;48;0,078343
54;11;0,102232
50;87;0,069808
53;48;0,079858
52;49;0,078320
54;12;0,096444
51;82;0,071541
50;88;0,069719
54;13;0,096263
52;50;0,076819
53;49;0,080562
51;83;0,072167
50;89;0,070492
52;51;0,076189
53;50;0,079787
54;14;0,092439
51;84;0,070909
50;90;0,069839
52;52;0,075435
54;15;0,092442
53;51;0,079979
51;85;0,069441
50;91;0,068464
54;16;0,088972
52;53;0,076664
53;52;0,079384
51;86;0,072108
50;92;0,070899
54;17;0,090952
53;53;0,078889
52;54;0,074031
54;18;0,085242
51;87;0,072593
50;93;0,069879
53;54;0,076558
54;19;0,076269
52;55;0,070827
51;88;0,072608
53;55;0,073477
54;20;0,084160
50;94;0,069720
52;56;0,074791
54;21;0,082936
53;56;0,078362
51;89;0,072391
52;57;0,075088
50;95;0,069715
54;22;0,087291
53;57;0,077022
52;58;0,074697
51;90;0,072538
54;23;0,086463
50;96;0,069925
53;58;0,077686
52;59;0,074973
51;91;0,070793
54;24;0,086289
50;97;0,069345
53;59;0,077513
52;60;0,074118
54;25;0,083632
51;92;0,072883
53;60;0,075774
50;98;0,068915
52;61;0,071604
54;26;0,081954
51;93;0,072776
53;61;0,072679
52;62;0,074999
50;99;0,068578
54;27;0,079681
51;94;0,072125
53;62;0,076744
54;28;0,079037
52;63;0,074972
50;100;0,068429
54;29;0,078983
53;63;0,076674
51;95;0,072628
52;64;0,074562
55;1;0,267269
54;30;0,075792
55;2;0,185164
52;65;0,073825
53;64;0,077426
55;3;0,135263
51;96;0,072242
54;31;0,076205
1;30;0,492478
52;66;0,074653
53;65;0,076019
55;4;0,124809
51;97;0,071649
54;32;0,077971
55;5;0,118021
52;67;0,074335
53;66;0,076236
54;33;0,075901
51;98;0,071138
55;6;0,121228
52;68;0,074709
53;67;0,076684
54;34;0,077049
55;7;0,093914
51;99;0,071991
52;69;0,072886
55;8;0,097896
53;68;0,075469
54;35;0,078486
51;100;0,070802
55;9;0,108298
53;69;0,075225
52;70;0,073018
54;36;0,074990
55;10;0,107317
56;1;0,266766
52;71;0,073202
53;70;0,075509
54;37;0,071398
55;11;0,100280
56;2;0,200312
53;71;0,076612
56;3;0,143537
52;72;0,072111
55;12;0,093123
54;38;0,075393
56;4;0,127454
53;72;0,075422
55;13;0,094873
54;39;0,076550
52;73;0,073475
56;5;0,125708
55;14;0,088386
53;73;0,075364
54;40;0,075410
56;6;0,126130
52;74;0,071951
55;15;0,091866
56;7;0,102371
54;41;0,078198
53;74;0,074164
52;75;0,073078
55;16;0,087147
56;8;0,106261
54;42;0,078515
52;76;0,071391
53;75;0,076647
56;9;0,119506
55;17;0,088700
54;43;0,078124
53;76;0,076158
56;10;0,117682
52;77;0,072753
55;18;0,083760
54;44;0,077481
56;11;0,111645
53;77;0,075984
55;19;0,077086
54;45;0,076698
52;78;0,071881
56;12;0,102636
55;20;0,082502
53;78;0,075743
54;46;0,075477
56;13;0,104654
52;79;0,070559
55;21;0,082318
54;47;0,075426
56;14;0,097889
53;79;0,075538
55;22;0,086490
52;80;0,070691
56;15;0,100912
54;48;0,074238
55;23;0,085217
56;16;0,094679
53;80;0,074532
52;81;0,070083
54;49;0,074280
55;24;0,085040
56;17;0,099178
53;81;0,074516
52;82;0,068859
55;25;0,083734
54;50;0,077270
56;18;0,092510
53;82;0,073756
54;51;0,077287
52;83;0,069817
56;19;0,083733
55;26;0,080969
3;91;0,426326
54;52;0,076954
56;20;0,092025
53;83;0,074941
55;27;0,079879
52;84;0,068417
54;53;0,077251
55;28;0,079217
56;21;0,090773
52;85;0,066707
53;84;0,073441
55;29;0,079891
56;22;0,095172
54;54;0,074168
52;86;0,069124
53;85;0,071340
55;30;0,076948
56;23;0,094188
54;55;0,072237
52;87;0,069413
53;86;0,074766
56;24;0,092605
55;31;0,076850
54;56;0,075361
52;88;0,069911
56;25;0,091146
55;32;0,078266
53;87;0,074114
54;57;0,075531
56;26;0,087524
55;33;0,074556
52;89;0,070730
53;88;0,074885
54;58;0,075647
56;27;0,084874
55;34;0,077177
53;89;0,075176
52;90;0,069595
54;59;0,075116
56;28;0,083974
55;35;0,074909
53;90;0,074481
54;60;0,075864
56;29;0,083693
52;91;0,068526
55;36;0,074180
54;61;0,073234
53;91;0,073017
56;30;0,081498
55;37;0,070615
52;92;0,070858
54;62;0,077131
53;92;0,075308
56;31;0,080382
55;38;0,073899
52;93;0,070547
54;63;0,076696
56;32;0,082912
53;93;0,074491
55;39;0,073741
52;94;0,070118
54;64;0,076216
56;33;0,080335
53;94;0,073886
55;40;0,073097
52;95;0,069915
56;34;0,080983
54;65;0,075378
55;41;0,075585
53;95;0,073389
52;96;0,069814
56;35;0,083403
54;66;0,075614
55;42;0,076384
53;96;0,073596
52;97;0,068988
56;36;0,077739
54;67;0,076222
55;43;0,074124
56;37;0,072498
52;98;0,068883
53;97;0,073027
54;68;0,075307
55;44;0,074902
2;62;0,468274
52;99;0,068613
56;38;0,079260
53;98;0,072890
54;69;0,073437
55;45;0,073849
56;39;0,079677
52;100;0,068722
54;70;0,075063
53;99;0,072334
55;46;0,073755
57;1;0,270867
56;40;0,077635
53;100;0,072081
55;47;0,073807
54;71;0,075021
57;2;0,195918
56;41;0,080805
57;3;0,140660
55;48;0,073262
58;1;0,263666
54;72;0,075236
56;42;0,079748
57;4;0,125627
58;2;0,192173
55;49;0,074651
54;73;0,073415
56;43;0,079830
57;5;0,121736
58;3;0,139128
55;50;0,073309
54;74;0,075122
57;6;0,122930
56;44;0,078010
58;4;0,116146
57;7;0,097368
58;5;0,112836
55;51;0,073131
56;45;0,078784
54;75;0,074800
58;6;0,115187
57;8;0,104548
56;46;0,078511
55;52;0,075734
54;76;0,074970
58;7;0,095456
57;9;0,110131
56;47;0,077916
55;53;0,077089
54;77;0,074974
58;8;0,101036
57;10;0,112646
58;9;0,109590
57;11;0,104577
56;48;0,076373
55;54;0,074533
54;78;0,074733
58;10;0,105933
57;12;0,095520
56;49;0,077427
55;55;0,072340
54;79;0,074197
58;11;0,098736
57;13;0,098418
55;56;0,075755
56;50;0,075497
54;80;0,074182
58;12;0,093834
57;14;0,089852
55;57;0,075767
58;13;0,098170
54;81;0,073427
57;15;0,094463
56;51;0,076106
55;58;0,074622
58;14;0,094096
57;16;0,089652
54;82;0,072085
56;52;0,075386
58;15;0,095520
55;59;0,075031
57;17;0,093594
56;53;0,075965
54;83;0,072392
58;16;0,090891
57;18;0,088549
55;60;0,073819
56;54;0,076973
58;17;0,093348
54;84;0,071868
57;19;0,078950
55;61;0,071751
58;18;0,090943
56;55;0,073705
54;85;0,070071
57;20;0,086341
58;19;0,083617
55;62;0,074922
56;56;0,079300
57;21;0,086424
54;86;0,071938
58;20;0,089755
56;57;0,078383
55;63;0,073881
57;22;0,089488
54;87;0,072047
58;21;0,089386
57;23;0,086774
56;58;0,079215
55;64;0,075316
54;88;0,072409
58;22;0,091773
57;24;0,086384
56;59;0,078294
55;65;0,073380
58;23;0,089941
54;89;0,072598
57;25;0,086089
56;60;0,077161
58;24;0,090056
55;66;0,073649
54;90;0,071947
57;26;0,082455
56;61;0,074417
58;25;0,087890
55;67;0,073291
54;91;0,070227
57;27;0,080630
58;26;0,085703
56;62;0,078918
57;28;0,081031
55;68;0,073242
54;92;0,072750
58;27;0,082799
56;63;0,078984
57;29;0,080462
55;69;0,072219
54;93;0,072457
58;28;0,082316
56;64;0,078148
57;30;0,078568
55;70;0,072690
58;29;0,082825
54;94;0,071625
56;65;0,077277
57;31;0,077897
58;30;0,080482
55;71;0,072774
54;95;0,072250
56;66;0,077644
57;32;0,080412
58;31;0,078558
55;72;0,073389
54;96;0,071818
57;33;0,076475
56;67;0,078094
58;32;0,081765
3;92;0,428307
55;73;0,072634
57;34;0,077697
56;68;0,077393
54;97;0,071814
58;33;0,078459
57;35;0,077337
55;74;0,071946
56;69;0,076403
54;98;0,071495
58;34;0,082397
57;36;0,072758
55;75;0,072349
56;70;0,075881
58;35;0,080025
54;99;0,071128
57;37;0,071665
55;76;0,072137
56;71;0,078399
58;36;0,077809
54;100;0,071068
57;38;0,076649
56;72;0,077074
58;37;0,074180
55;77;0,071830
57;39;0,077161
59;1;0,268883
58;38;0,078248
56;73;0,076502
55;78;0,072262
59;2;0,201093
57;40;0,075628
59;3;0,145316
56;74;0,076645
55;79;0,071243
58;39;0,077328
57;41;0,078496
59;4;0,129759
56;75;0,077421
58;40;0,077550
57;42;0,077537
55;80;0,071118
59;5;0,118994
58;41;0,079500
57;43;0,077381
59;6;0,125333
56;76;0,076525
55;81;0,070692
58;42;0,077964
59;7;0,099155
57;44;0,077008
56;77;0,077554
55;82;0,069673
59;8;0,102457
58;43;0,078001
57;45;0,076369
56;78;0,076502
59;9;0,113424
55;83;0,070872
58;44;0,076491
57;46;0,075030
59;10;0,117184
56;79;0,076451
55;84;0,070095
58;45;0,076556
59;11;0,106267
57;47;0,075326
56;80;0,075660
55;85;0,067459
59;12;0,101168
58;46;0,075714
57;48;0,074196
59;13;0,103192
56;81;0,075039
58;47;0,074885
57;49;0,075301
55;86;0,070119
59;14;0,097986
56;82;0,074207
58;48;0,074509
59;15;0,098308
57;50;0,074225
55;87;0,070532
58;49;0,074446
56;83;0,073922
59;16;0,092222
55;88;0,070558
57;51;0,074137
58;50;0,073534
56;84;0,072843
59;17;0,092048
55;89;0,071211
57;52;0,072913
58;51;0,073319
59;18;0,089898
56;85;0,071030
55;90;0,070408
57;53;0,073750
58;52;0,073260
59;19;0,080651
56;86;0,073462
59;20;0,087861
57;54;0,071873
58;53;0,074094
55;91;0,069294
56;87;0,073628
59;21;0,086730
58;54;0,071090
57;55;0,068754
55;92;0,071277
56;88;0,074274
59;22;0,092468
57;56;0,076057
58;55;0,069582
55;93;0,071460
59;23;0,091101
56;89;0,074252
57;57;0,075117
59;24;0,089807
58;56;0,072561
55;94;0,070502
57;58;0,075748
56;90;0,073984
58;57;0,072447
59;25;0,089592
55;95;0,070162
57;59;0,075733
56;91;0,071839
58;58;0,075926
59;26;0,086952
55;96;0,070317
57;60;0,074306
59;27;0,084126
56;92;0,075306
58;59;0,074895
57;61;0,072159
55;97;0,069814
59;28;0,083905
58;60;0,075077
56;93;0,074204
59;29;0,085852
57;62;0,076811
55;98;0,069590
58;61;0,072200
59;30;0,082379
56;94;0,073153
57;63;0,076281
55;99;0,069455
58;62;0,076512
59;31;0,081988
56;95;0,073067
57;64;0,076703
58;63;0,075961
59;32;0,084260
55;100;0,069225
57;65;0,076177
56;96;0,072770
59;33;0,081925
58;64;0,075776
60;1;0,264692
57;66;0,076636
56;97;0,072952
60;2;0,200845
59;34;0,081429
58;65;0,075969
57;67;0,075676
60;3;0,146662
59;35;0,079345
56;98;0,072136
58;66;0,075159
60;4;0,126787
57;68;0,076599
59;36;0,079397
58;67;0,076367
60;5;0,116860
56;99;0,072169
57;69;0,073769
59;37;0,073169
60;6;0,116941
58;68;0,074168
56;100;0,071933
60;7;0,091440
59;38;0,079312
57;70;0,075562
58;69;0,074027
61;1;0,261425
59;39;0,079674
60;8;0,104529
57;71;0,074624
58;70;0,073960
61;2;0,188553
60;9;0,112104
59;40;0,077910
57;72;0,074389
61;3;0,135763
60;10;0,111243
58;71;0,074670
59;41;0,080733
61;4;0,125465
60;11;0,105194
57;73;0,074788
58;72;0,074568
59;42;0,079918
61;5;0,116878
60;12;0,098297
57;74;0,073881
61;6;0,121504
58;73;0,073742
59;43;0,078645
60;13;0,102379
57;75;0,074651
61;7;0,093462
58;74;0,073902
59;44;0,079612
60;14;0,095313
61;8;0,096016
57;76;0,074031
60;15;0,096799
58;75;0,073792
59;45;0,078822
61;9;0,108296
2;63;0,468976
57;77;0,074630
60;16;0,093854
61;10;0,109416
59;46;0,078533
58;76;0,074079
57;78;0,074668
60;17;0,093352
61;11;0,101185
59;47;0,077599
58;77;0,073278
60;18;0,089289
57;79;0,073405
61;12;0,094357
59;48;0,076905
58;78;0,073860
60;19;0,078930
61;13;0,098146
57;80;0,073347
59;49;0,076182
60;20;0,089121
58;79;0,073247
61;14;0,091797
57;81;0,073234
59;50;0,076188
60;21;0,088650
58;80;0,073338
61;15;0,097646
57;82;0,071708
60;22;0,093487
59;51;0,075367
61;16;0,092342
3;93;0,429510
58;81;0,072799
57;83;0,072464
60;23;0,089962
61;17;0,095730
59;52;0,074625
58;82;0,071900
61;18;0,089223
60;24;0,090277
57;84;0,070841
59;53;0,075471
58;83;0,072660
61;19;0,081212
60;25;0,088765
57;85;0,068594
59;54;0,073270
58;84;0,071423
61;20;0,088182
60;26;0,085733
57;86;0,071578
59;55;0,070249
61;21;0,088675
58;85;0,070101
60;27;0,084216
57;87;0,071472
61;22;0,092171
59;56;0,074042
60;28;0,083374
58;86;0,072371
61;23;0,091014
59;57;0,073684
60;29;0,083094
57;88;0,071750
58;87;0,072248
61;24;0,089207
60;30;0,078948
59;58;0,072899
57;89;0,072324
61;25;0,089461
58;88;0,072115
60;31;0,079631
59;59;0,073731
57;90;0,071546
61;26;0,085602
58;89;0,072377
60;32;0,080287
59;60;0,077041
61;27;0,081324
58;90;0,071879
60;33;0,080116
57;91;0,069755
59;61;0,075030
61;28;0,082217
60;34;0,080839
58;91;0,070958
57;92;0,072502
59;62;0,078421
61;29;0,082571
60;35;0,080722
58;92;0,073234
59;63;0,077183
57;93;0,071312
61;30;0,080842
60;36;0,078217
58;93;0,073327
59;64;0,078400
61;31;0,079511
57;94;0,071143
60;37;0,074764
59;65;0,076469
61;32;0,085211
58;94;0,072070
60;38;0,078785
57;95;0,071091
59;66;0,077812
60;39;0,079724
58;95;0,072483
57;96;0,070993
61;33;0,079872
60;40;0,078600
59;67;0,077870
58;96;0,070977
61;34;0,080298
57;97;0,070302
60;41;0,081442
59;68;0,078085
61;35;0,079911
58;97;0,071921
57;98;0,070518
60;42;0,080022
59;69;0,076499
58;98;0,070650
61;36;0,078943
57;99;0,069901
60;43;0,079523
59;70;0,077724
61;37;0,076016
58;99;0,070632
57;100;0,069805
60;44;0,078606
59;71;0,077618
61;38;0,080234
58;100;0,071099
62;1;0,263172
59;72;0,076354
60;45;0,079293
61;39;0,080989
62;2;0,190197
63;1;0,259581
59;73;0,077495
60;46;0,078625
63;2;0,216666
62;3;0,135878
61;40;0,079430
63;3;0,142641
59;74;0,077024
62;4;0,123707
60;47;0,078031
61;41;0,080922
62;5;0,114911
63;4;0,130040
59;75;0,077944
60;48;0,076211
61;42;0,080275
62;6;0,119311
63;5;0,121860
59;76;0,077247
60;49;0,077011
62;7;0,096408
61;43;0,079802
63;6;0,126031
62;8;0,099573
59;77;0,077507
60;50;0,075848
61;44;0,079873
63;7;0,096540
62;9;0,110718
63;8;0,101337
60;51;0,075047
59;78;0,078002
61;45;0,077917
63;9;0,113742
62;10;0,113842
60;52;0,074901
63;10;0,113381
61;46;0,077279
62;11;0,103425
59;79;0,076462
60;53;0,074408
1;31;0,492969
63;11;0,103379
62;12;0,098740
61;47;0,076866
59;80;0,076850
60;54;0,071520
63;12;0,098717
62;13;0,099071
61;48;0,076397
63;13;0,102266
59;81;0,076475
60;55;0,070721
62;14;0,092826
61;49;0,076389
63;14;0,096957
60;56;0,073832
59;82;0,075148
62;15;0,093404
63;15;0,100412
61;50;0,075756
62;16;0,085514
60;57;0,073363
59;83;0,075324
63;16;0,095913
61;51;0,076177
62;17;0,088610
60;58;0,073761
59;84;0,074838
63;17;0,097972
62;18;0,084771
61;52;0,074356
63;18;0,093506
59;85;0,072260
60;59;0,073217
62;19;0,076883
61;53;0,074801
63;19;0,084434
59;86;0,075258
62;20;0,083523
60;60;0,072391
63;20;0,090384
61;54;0,073242
59;87;0,075373
62;21;0,083829
60;61;0,069886
63;21;0,091832
61;55;0,069928
62;22;0,087644
59;88;0,075779
60;62;0,078259
63;22;0,095575
61;56;0,072572
62;23;0,087867
60;63;0,077515
63;23;0,093135
59;89;0,075862
61;57;0,072289
62;24;0,087417
63;24;0,089965
60;64;0,077968
59;90;0,075181
62;25;0,084804
61;58;0,072274
63;25;0,091556
60;65;0,077335
59;91;0,074140
62;26;0,082720
63;26;0,087737
61;59;0,072459
60;66;0,078025
59;92;0,076191
62;27;0,079975
63;27;0,086716
61;60;0,070964
60;67;0,077581
62;28;0,079913
63;28;0,086175
59;93;0,075628
61;61;0,069976
60;68;0,076155
62;29;0,080707
63;29;0,086285
59;94;0,075446
61;62;0,072956
60;69;0,074625
63;30;0,083163
62;30;0,078047
61;63;0,072811
60;70;0,075461
59;95;0,075137
63;31;0,085500
62;31;0,075345
61;64;0,076242
59;96;0,075172
63;32;0,084604
60;71;0,076519
62;32;0,079868
61;65;0,077072
63;33;0,080957
59;97;0,074568
62;33;0,075961
60;72;0,075949
61;66;0,076001
63;34;0,083202
62;34;0,078221
59;98;0,074773
60;73;0,076461
61;67;0,075128
63;35;0,082385
3;94;0,430613
62;35;0,077722
59;99;0,074094
60;74;0,075053
61;68;0,074937
63;36;0,080485
62;36;0,075672
59;100;0,073674
60;75;0,076604
63;37;0,074854
62;37;0,071812
61;69;0,074295
64;1;0,265908
62;38;0,076717
60;76;0,075455
63;38;0,081617
61;70;0,074147
64;2;0,196796
62;39;0,076788
60;77;0,076063
64;3;0,137353
63;39;0,080881
61;71;0,074478
62;40;0,075399
64;4;0,121919
60;78;0,075764
63;40;0,079510
61;72;0,073218
64;5;0,116913
62;41;0,078624
60;79;0,074928
63;41;0,082701
61;73;0,072822
64;6;0,116447
62;42;0,078269
64;7;0,091556
63;42;0,081827
60;80;0,075199
61;74;0,073173
62;43;0,077408
64;8;0,103035
63;43;0,081974
60;81;0,074799
61;75;0,072793
64;9;0,111281
63;44;0,081145
62;44;0,075935
60;82;0,073035
64;10;0,106365
63;45;0,081413
61;76;0,072948
62;45;0,075786
64;11;0,101552
60;83;0,074324
63;46;0,081376
62;46;0,075894
61;77;0,072708
64;12;0,095818
60;84;0,073216
63;47;0,080887
62;47;0,074822
64;13;0,097905
61;78;0,072562
60;85;0,071006
63;48;0,079730
64;14;0,091794
62;48;0,074144
61;79;0,071056
60;86;0,074218
64;15;0,098571
63;49;0,080045
62;49;0,073479
61;80;0,071141
64;16;0,093551
63;50;0,078897
62;50;0,074312
60;87;0,074244
64;17;0,093887
61;81;0,070473
63;51;0,079228
60;88;0,073955
62;51;0,073473
64;18;0,089732
63;52;0,077479
61;82;0,070029
60;89;0,074812
64;19;0,079814
62;52;0,073303
2;64;0,470457
63;53;0,077156
61;83;0,070225
64;20;0,089448
60;90;0,073275
62;53;0,073968
63;54;0,075759
64;21;0,087900
61;84;0,069828
60;91;0,072515
62;54;0,069792
63;55;0,073530
64;22;0,092162
62;55;0,068214
60;92;0,074583
61;85;0,067859
63;56;0,077284
64;23;0,090026
62;56;0,071955
60;93;0,073883
61;86;0,070763
63;57;0,077583
64;24;0,090044
62;57;0,071444
60;94;0,074008
63;58;0,077422
61;87;0,071021
64;25;0,091338
62;58;0,070731
64;26;0,089273
63;59;0,076802
61;88;0,070921
60;95;0,073412
62;59;0,070516
64;27;0,088264
63;60;0,076008
61;89;0,070544
64;28;0,086334
60;96;0,073578
62;60;0,070736
63;61;0,073869
61;90;0,070536
64;29;0,087701
60;97;0,072879
62;61;0,068016
63;62;0,076403
64;30;0,083199
61;91;0,069173
60;98;0,073119
62;62;0,072335
63;63;0,078629
64;31;0,084155
61;92;0,072039
62;63;0,071454
60;99;0,072534
64;32;0,085521
63;64;0,077107
61;93;0,070726
62;64;0,072938
60;100;0,073146
64;33;0,082606
63;65;0,075710
62;65;0,071594
61;94;0,070550
64;34;0,082924
65;1;0,260546
63;66;0,075869
65;2;0,196467
62;66;0,074724
61;95;0,070932
64;35;0,083438
63;67;0,076501
65;3;0,134717
62;67;0,075155
64;36;0,080353
61;96;0,070783
63;68;0,079614
65;4;0,125048
62;68;0,074560
64;37;0,077383
65;5;0,119145
61;97;0,070042
63;69;0,078338
62;69;0,073612
64;38;0,080604
65;6;0,120388
63;70;0,078531
61;98;0,071130
64;39;0,080670
62;70;0,073901
65;7;0,092509
63;71;0,079188
61;99;0,070143
65;8;0,102088
64;40;0,079208
62;71;0,074837
63;72;0,078076
65;9;0,106739
64;41;0,081964
61;100;0,069728
62;72;0,073573
63;73;0,078157
65;10;0,107794
64;42;0,081118
66;1;0,264716
62;73;0,073109
63;74;0,077661
65;11;0,103800
64;43;0,081408
66;2;0,188446
62;74;0,072813
65;12;0,096362
63;75;0,077818
66;3;0,134351
64;44;0,079591
62;75;0,073378
66;4;0,124173
63;76;0,078025
64;45;0,079985
65;13;0,096484
66;5;0,113310
62;76;0,072270
65;14;0,093213
63;77;0,078454
64;46;0,077991
66;6;0,119388
65;15;0,095034
63;78;0,078201
64;47;0,077182
62;77;0,072564
